time,volume,x,y,z,u_x,u_y,u_z,omega_x,omega_y,omega_z,area
0.7741691,0.52225271,-5.697e-05,3.99579853,-9.11e-06,-1.391e-05,1.09348667,8.98e-05,2.225e-05,-4.5e-07,1.87e-06,3.17471832
0.78195637,0.5222539,-5.709e-05,4.00433608,-8.36e-06,1.021e-05,1.10015839,8.419e-05,2.235e-05,-9e-07,4.74e-06,3.17564783
0.78974364,0.52225487,-5.718e-05,4.012926,-7.68e-06,-1.209e-05,1.10661619,8.283e-05,2.011e-05,-1.19e-06,3.63e-06,3.17684811
0.79753092,0.52225562,-5.73e-05,4.02156694,-7.13e-06,-1.087e-05,1.11339492,7.633e-05,1.993e-05,-7.2e-07,4.35e-06,3.17773423
0.80531819,0.52225832,-5.741e-05,4.03025858,-6.58e-06,-1.811e-05,1.11996018,7.428e-05,1.758e-05,-4e-07,4.89e-06,3.17837102
0.81310546,0.5222602,-5.747e-05,4.03899976,-5.92e-06,-1.766e-05,1.12638327,7.253e-05,1.478e-05,-9.1e-07,8e-07,3.17997799
0.82089273,0.52226203,-5.763e-05,4.04779224,-5.31e-06,-1.298e-05,1.13290555,7.92e-05,1.495e-05,-7.3e-07,2.96e-06,3.18065896
0.82868001,0.52226484,-5.782e-05,4.05663481,-4.83e-06,-3.72e-06,1.13941349,9.147e-05,1.28e-05,-6.2e-07,6.63e-06,3.18168756
0.83646728,0.52226674,-5.805e-05,4.06552639,-4.32e-06,-4.066e-05,1.14558337,6.37e-05,1.416e-05,5.1e-07,2.91e-06,3.18249121
0.84425455,0.5222706,-5.844e-05,4.07446953,-3.9e-06,-4.46e-05,1.15189745,7.192e-05,1.613e-05,7e-07,3.51e-06,3.18308616
0.85204182,0.52227578,-5.88e-05,4.08346091,-3.49e-06,-5.039e-05,1.15828122,5.114e-05,1.434e-05,7.3e-07,1.58e-06,3.18471313
0.8598291,0.52228192,-5.922e-05,4.0925014,-3.09e-06,-6.785e-05,1.16457069,4.466e-05,1.659e-05,9.3e-07,2.2e-07,3.18520591
0.86761637,0.52228744,-5.984e-05,4.10159254,-2.82e-06,-8.412e-05,1.17115345,2.822e-05,1.877e-05,9.6e-07,1.12e-06,3.18651369
0.87540364,0.52229474,-6.05e-05,4.11073635,-2.65e-06,-9.188e-05,1.17766487,2.949e-05,2.31e-05,1.98e-06,2.7e-06,3.18790332
0.88319091,0.5223016,-6.125e-05,4.11992675,-2.66e-06,-7.1e-05,1.18384789,-1.14e-05,1.471e-05,3.46e-06,7.04e-06,3.18842705
0.89097819,0.52230035,-6.212e-05,4.12916651,-2.72e-06,-0.00013466,1.19033119,-1.188e-05,2.007e-05,3.84e-06,4.43e-06,3.19000894
0.89876546,0.5222983,-6.309e-05,4.13845819,-2.85e-06,-0.00013293,1.19668589,-1.574e-05,2.432e-05,3.34e-06,5.19e-06,3.19107183
0.90655273,0.52229661,-6.422e-05,4.14779655,-3.15e-06,-0.00013829,1.20295888,-6.058e-05,2.73e-05,3.67e-06,9.14e-06,3.19159487
0.91434,0.52229639,-6.551e-05,4.15718205,-3.62e-06,-0.00017548,1.20891304,-8.757e-05,3.236e-05,4.4e-06,1.244e-05,3.19270575
0.92212728,0.52229762,-6.694e-05,4.16661627,-4.32e-06,-0.00016849,1.21508557,-8.962e-05,3.455e-05,3.54e-06,1.127e-05,3.19393366
0.92991455,0.52229782,-6.842e-05,4.17609771,-5.2e-06,-0.00019957,1.22135502,-0.00012057,3.352e-05,4.16e-06,1.489e-05,3.19447114
0.93770182,0.52229828,-6.985e-05,4.18562701,-6.34e-06,-0.00019034,1.22734766,-0.00016205,3.253e-05,3.32e-06,1.622e-05,3.195859
0.94548909,0.52229893,-7.132e-05,4.19520331,-7.7e-06,-0.00019099,1.23315628,-0.00018579,3.306e-05,3.01e-06,1.63e-05,3.19688375
0.95327637,0.52229923,-7.278e-05,4.20482713,-9.31e-06,-0.00018545,1.23898409,-0.00018743,2.747e-05,3.03e-06,1.507e-05,3.19750278
0.96106364,0.52229946,-7.424e-05,4.21449374,-1.108e-05,-0.00018813,1.24485815,-0.00023543,3.039e-05,2.61e-06,2.004e-05,3.19885996
0.96885091,0.52229981,-7.571e-05,4.22420514,-1.305e-05,-0.00021207,1.25074096,-0.00025592,2.799e-05,4.7e-06,2.168e-05,3.19952007
0.97663818,0.52230024,-7.727e-05,4.23396438,-1.512e-05,-0.0001901,1.25644903,-0.00027197,2.889e-05,3.96e-06,2.177e-05,3.2003605
0.98442546,0.52230052,-7.876e-05,4.24376611,-1.731e-05,-0.00016197,1.26211695,-0.00025861,2.348e-05,3.14e-06,2.883e-05,3.20164144
0.99221273,0.5223011,-8.014e-05,4.25361187,-1.954e-05,-0.00021006,1.26770878,-0.00028475,2.143e-05,3.48e-06,3.263e-05,3.20252302
1.0,0.52230142,-8.175e-05,4.26350263,-2.18e-05,-0.00020328,1.27323827,-0.00028932,1.764e-05,3.28e-06,3.457e-05,3.20332219
1.00778816,0.52230165,-8.338e-05,4.27343554,-2.409e-05,-0.00021386,1.27875358,-0.00029805,1.667e-05,3.9e-06,3.725e-05,3.20467144
1.01557632,0.52230192,-8.512e-05,4.28340951,-2.645e-05,-0.00022825,1.28390798,-0.00029609,9.03e-06,3.58e-06,3.848e-05,3.20554257
1.02336449,0.52230214,-8.692e-05,4.29342508,-2.864e-05,-0.00021397,1.28915078,-0.00026722,4.97e-06,3.18e-06,4.145e-05,3.20675491
1.03115265,0.52230523,-8.866e-05,4.30348174,-3.073e-05,-0.00026161,1.29397042,-0.00028015,5.01e-06,2.99e-06,3.914e-05,3.20832257
1.03894081,0.52230942,-9.051e-05,4.3135748,-3.266e-05,-0.00023004,1.29891592,-0.00024077,-1.4e-07,2.96e-06,4.315e-05,3.2094582
1.04672897,0.52231507,-9.242e-05,4.3237061,-3.456e-05,-0.00022347,1.30367389,-0.00021564,-1.188e-05,6.23e-06,4.914e-05,3.21046671
1.05451713,0.52231409,-9.435e-05,4.33387395,-3.629e-05,-0.00021362,1.30807862,-0.00022851,-3.77e-06,5.3e-06,4.734e-05,3.2122146
